Name,Instructions,Analyzed,Discarded,JAL,OP,OPi,JALR,JR,RET,LI,LOAD,Jumps,FW Jumps,BW Jumps,Safe FW,Unsafe FW,Safe BW,Unsafe BW
crc32,4031958,3154966,876992,175459,875534,1577030,5,0,175463,537,350937,175468,5,175463,1,4,175285,178
aha-mont64,4593100,4075268,517832,8493,1619266,2389303,4,0,8496,15290,34415,8500,4,8496,0,4,7217,1279
statemate,1736061,1002766,733295,23594,11948,292958,1970,1965,25563,37371,275167,29498,3935,25563,1967,1968,23590,1973
qrduino,3535951,2541323,994628,26038,783593,976881,17,72,26054,94549,182054,26143,89,26054,25,64,25938,116
edn,3920466,3414261,506205,807,1835371,627753,5,0,811,21330,874151,816,5,811,1,4,803,8
huffbench,2774751,1781032,993719,1286,329438,913456,5,12,1290,27990,278018,1307,17,1290,13,4,1270,20
matmult-int,3617090,2776556,840534,956,797844,806795,5,0,960,2333,1167662,965,5,960,1,4,951,9
minver,5281989,3625353,1656636,69573,893852,1726228,4,7784,69576,366586,489524,77364,7788,69576,7228,560,17265,52311
nbody,6414846,5086511,1328335,40181,2105655,2374428,5,6,40185,225155,299293,40196,11,40185,4,7,5648,34537
nettle-aes,4648487,3954543,693944,487,1262983,1758767,5,0,491,4927,830584,496,5,491,1,4,247,244
nettle-sha256,3944027,3757302,186725,5725,2039689,1363815,957,952,6681,15737,255185,8590,1909,6681,1429,480,5246,1435
nsichneu,2135454,1360384,775070,13,19,133146,4,0,16,40,1227145,20,4,16,0,4,11,5
picojpeg,5229005,3843275,1385730,162367,820647,1709652,26,1232,162392,275029,461266,163650,1258,162392,1,1257,133971,28421
sglib-combined,2867762,1842982,1024780,53276,258396,680082,35,30,53310,58629,665813,53375,65,53310,31,34,21292,32018
sglib-slre,3123072,1979435,1143637,88924,285061,508888,5,0,88928,428484,380454,88933,5,88928,1,4,65056,23872
st,4288279,3364700,923579,46989,1321155,1477538,5,0,46993,228387,233468,46998,5,46993,1,4,13088,33905
ud,3712012,2820903,891109,36990,856357,1214509,5,0,36994,184910,482263,36999,5,36994,1,4,19238,17756
wikisort,2524003,1912922,611081,22045,488824,780179,46791,0,68835,101706,400375,115626,46791,68835,39170,7621,53783,15052
cubic,7570214,5868087,1702127,44319,2513471,2368069,5,1969,44323,226581,665432,46297,1974,44323,1,1973,8748,35575
